item,category,co2_per_unit,unit
HomeEssentials Tomato,Vegetables,1.07,piece
BrandB Lamp,Household,14.51,piece
DailyCare Diesel,Transport,2.52,km
HomeEssentials Beef,Meat,11.38,kg
GoodFarm Lentils,Food,4.62,pack
BrandB Oats,Food,0.81,kg
GreenChoice Dog Food,Pet Supplies,7.3,piece
GreenChoice Pasta,Food,3.83,kg
NaturePlus Butter,Dairy,2.95,kg
BrandB Lamp,Household,19.97,piece
NaturePlus Petrol,Transport,1.94,liter
BrandC Mango,Fruits,1.75,kg
GreenChoice Deodorant,Personal Care,4.47,piece
GoodFarm T-shirt,Clothing,2.1,piece
BrandB Bus Ticket,Transport,2.46,km
BrandA Shirt,Clothing,4.2,piece
EcoLife Lentils,Food,3.17,kg
GoodFarm Tablet,Electronics,157.31,piece
BrandC Bus Ticket,Transport,3.22,liter
HomeEssentials Onion,Vegetables,0.88,piece
BrandB Deodorant,Personal Care,4.94,piece
GreenChoice Apple,Fruits,0.9,piece
EcoLife Soap,Personal Care,0.44,piece
BrandC Pork,Meat,9.29,kg
EcoLife Orange,Fruits,0.14,kg
GreenChoice Croissant,Bakery,1.09,piece
BrandA Mango,Fruits,1.18,piece
BrandB Bread,Bakery,1.67,piece
NaturePlus Pillow,Household,28.48,piece
EcoLife Mango,Fruits,1.93,kg
DailyCare Lotion,Personal Care,4.39,piece
NaturePlus Soap,Personal Care,1.65,piece
DailyCare Bicycle,Transport,2.19,liter
BrandA Beans,Food,4.29,pack
BrandA Lamp,Household,49.83,piece
NaturePlus Cheese,Dairy,4.24,kg
EcoLife Water,Beverages,2.37,bottle
GoodFarm Butter,Dairy,1.35,liter
NaturePlus Beans,Food,4.59,piece
GreenChoice Soap,Personal Care,0.93,piece
BrandB Jeans,Clothing,9.06,piece
HomeEssentials Tea,Beverages,1.53,liter
EcoLife Tablet,Electronics,130.74,piece
NaturePlus Pork,Meat,14.25,kg
BrandA Deodorant,Personal Care,4.39,piece
GreenChoice Cream,Dairy,5.52,kg
BrandA Grapes,Fruits,1.65,piece
EcoLife Soap,Personal Care,3.78,piece
EcoLife Grapes,Fruits,0.96,piece
GoodFarm Muffin,Bakery,0.6,piece
BrandC Spinach,Vegetables,1.96,kg
GoodFarm Oats,Food,1.55,piece
EcoLife Litter,Pet Supplies,9.3,kg
BrandA Tea,Beverages,0.93,liter
DailyCare Banana,Fruits,1.6,piece
HomeEssentials Headphones,Electronics,182.28,piece
NaturePlus Chicken,Meat,8.72,kg
GreenChoice Sweater,Clothing,16.79,piece
EcoLife Cat Food,Pet Supplies,8.74,piece
NaturePlus Tomato,Vegetables,0.84,kg
GreenChoice Chicken,Meat,28.38,kg
EcoLife T-shirt,Clothing,3.36,piece
GreenChoice Coke,Beverages,2.13,liter
HomeEssentials Turkey,Meat,23.58,kg
BrandC Dish Soap,Cleaning,13.76,kg
BrandA Laptop,Electronics,51.33,piece
NaturePlus Spinach,Vegetables,0.66,kg
GoodFarm Dish Soap,Cleaning,0.99,liter
GoodFarm Lamb,Meat,29.93,kg
BrandA Apple,Fruits,1.71,piece
HomeEssentials Pasta,Food,4.14,kg
GreenChoice Notebook,Stationery,2.37,piece
HomeEssentials Nuts,Food,3.65,pack
EcoLife Lamb,Meat,7.3,kg
GoodFarm Pasta,Food,0.45,piece
GoodFarm Shirt,Clothing,16.69,piece
HomeEssentials Shampoo,Personal Care,2.14,piece
EcoLife Bread,Bakery,3.74,kg
DailyCare Shirt,Clothing,13.23,piece
EcoLife Milk,Dairy,0.96,liter
GreenChoice Pen,Stationery,1.9,piece
EcoLife Detergent,Cleaning,6.32,liter
DailyCare Lentils,Food,4.21,piece
BrandC Stapler,Stationery,1.84,piece
BrandB Shampoo,Personal Care,3.46,piece
BrandA Paper Pack,Stationery,3.89,piece
DailyCare Spinach,Vegetables,1.27,kg
EcoLife Phone,Electronics,116.77,piece
GoodFarm Cake,Bakery,3.31,piece
BrandA Train Ticket,Transport,0.55,km
HomeEssentials Beans,Food,4.06,kg
DailyCare Pen,Stationery,4.27,piece
GoodFarm Dog Food,Pet Supplies,2.16,piece
DailyCare Croissant,Bakery,1.38,kg
DailyCare Headphones,Electronics,168.92,piece
BrandB Cheese,Dairy,4.19,liter
HomeEssentials Table,Household,32.96,piece
EcoLife Soap,Personal Care,3.22,piece
BrandB Jacket,Clothing,19.54,piece
HomeEssentials Coffee,Beverages,1.08,bottle
BrandC Rice,Food,4.72,kg
BrandB Marker,Stationery,2.38,piece
NaturePlus Mango,Fruits,1.8,piece
NaturePlus Dish Soap,Cleaning,3.29,liter
DailyCare Lamb,Meat,27.71,kg
BrandA Muffin,Bakery,3.59,piece
BrandC Toothpaste,Personal Care,4.51,piece
HomeEssentials Lamb,Meat,26.35,kg
BrandC Beans,Food,0.33,kg
BrandA Apple,Fruits,1.84,kg
BrandC Tomato,Vegetables,0.24,piece
GoodFarm Cream,Dairy,7.48,liter
NaturePlus Chicken,Meat,21.31,kg
DailyCare Marker,Stationery,4.57,piece
BrandB Paper Pack,Stationery,4.77,piece
BrandC Turkey,Meat,24.55,kg
EcoLife Glass Cleaner,Cleaning,9.83,liter
BrandB Marker,Stationery,1.01,piece
HomeEssentials Sweater,Clothing,3.11,piece
NaturePlus Orange,Fruits,1.93,piece
EcoLife Grapes,Fruits,0.34,kg
DailyCare Carrot,Vegetables,1.61,kg
BrandC Coffee,Beverages,1.13,liter
DailyCare Shirt,Clothing,7.97,piece
BrandA Lotion,Personal Care,0.94,piece
BrandB Oats,Food,1.36,kg
GreenChoice Pet Shampoo,Pet Supplies,3.18,kg
BrandA Pillow,Household,45.32,piece
EcoLife Yogurt,Dairy,2.11,liter
GreenChoice Tablet,Electronics,14.31,piece
HomeEssentials Pork,Meat,17.4,kg
GreenChoice Petrol,Transport,0.91,km
EcoLife Phone,Electronics,26.34,piece
EcoLife Nuts,Food,4.62,piece
NaturePlus Water,Beverages,0.86,liter
BrandC Dish Soap,Cleaning,3.1,liter
GreenChoice Chicken,Meat,13.15,kg
HomeEssentials Beef,Meat,12.69,kg
BrandA Cake,Bakery,2.8,piece
HomeEssentials Banana,Fruits,1.52,piece
NaturePlus Beans,Food,0.95,pack
GoodFarm Notebook,Stationery,2.36,piece
DailyCare Butter,Dairy,0.85,liter
GreenChoice TV,Electronics,41.67,piece
GoodFarm Pen,Stationery,1.37,piece
NaturePlus Cake,Bakery,3.98,kg
NaturePlus Soap,Personal Care,1.65,piece
BrandB Laptop,Electronics,158.55,piece
DailyCare Laptop,Electronics,21.42,piece
GoodFarm Oats,Food,2.29,piece
EcoLife Grapes,Fruits,0.2,piece
NaturePlus Cake,Bakery,3.06,piece
HomeEssentials Pet Shampoo,Pet Supplies,1.44,piece
GoodFarm Litter,Pet Supplies,4.08,piece
BrandB Marker,Stationery,1.45,piece
DailyCare Oats,Food,1.25,kg
EcoLife Pillow,Household,2.04,piece
DailyCare Butter,Dairy,7.54,kg
BrandB Butter,Dairy,1.5,liter
BrandA Apple,Fruits,1.55,kg
GreenChoice Marker,Stationery,0.79,piece
BrandA Beef,Meat,29.64,kg
HomeEssentials Pillow,Household,31.93,piece
EcoLife Lotion,Personal Care,2.41,piece
HomeEssentials Coffee,Beverages,2.8,liter
BrandC Apple,Fruits,0.12,piece
BrandC Pet Shampoo,Pet Supplies,7.02,kg
BrandC Lamb,Meat,9.54,kg
BrandB Juice,Beverages,1.18,liter
DailyCare Tomato,Vegetables,1.27,kg
BrandC Floor Cleaner,Cleaning,2.85,piece
GreenChoice Nuts,Food,5.0,kg
BrandC Coke,Beverages,2.6,bottle
BrandB Detergent,Cleaning,9.4,piece
EcoLife Shampoo,Personal Care,1.24,piece
GoodFarm Cheese,Dairy,9.25,kg
BrandC Spinach,Vegetables,0.77,kg
DailyCare Milk,Dairy,5.7,liter
EcoLife Floor Cleaner,Cleaning,4.31,kg
DailyCare Milk,Dairy,9.7,kg
EcoLife Beans,Food,2.63,piece
NaturePlus Detergent,Cleaning,10.51,piece
EcoLife Pet Toy,Pet Supplies,9.46,piece
NaturePlus Cheese,Dairy,4.78,liter
GreenChoice Coke,Beverages,2.71,bottle
BrandC Phone,Electronics,64.69,piece
BrandB Bus Ticket,Transport,0.34,km
DailyCare Beans,Food,2.04,kg
DailyCare Headphones,Electronics,143.35,piece
BrandB Mattress,Household,9.05,piece
BrandB Sweater,Clothing,3.73,piece
BrandC Tablet,Electronics,68.5,piece
EcoLife Sweater,Clothing,3.44,piece
BrandC Chicken,Meat,18.79,kg
HomeEssentials Notebook,Stationery,4.02,piece
EcoLife Lamp,Household,48.88,piece
GoodFarm Muffin,Bakery,4.04,kg
BrandA Cat Food,Pet Supplies,2.84,piece
BrandC Cake,Bakery,3.04,piece
BrandB Petrol,Transport,0.17,liter
DailyCare Pillow,Household,1.33,piece
EcoLife Croissant,Bakery,4.55,kg
BrandB Diesel,Transport,3.57,km
GoodFarm Glass Cleaner,Cleaning,2.5,kg
BrandB Headphones,Electronics,159.89,piece
EcoLife Mango,Fruits,0.97,kg
GreenChoice Laptop,Electronics,148.2,piece
GreenChoice Oats,Food,1.47,pack
EcoLife Sweater,Clothing,9.36,piece
DailyCare Jacket,Clothing,3.13,piece
NaturePlus Spinach,Vegetables,0.88,kg
DailyCare Headphones,Electronics,185.49,piece
GreenChoice Lamp,Household,12.5,piece
NaturePlus Orange,Fruits,1.1,kg
BrandB Grapes,Fruits,1.54,piece
HomeEssentials Yogurt,Dairy,1.64,kg
EcoLife Paper Pack,Stationery,2.86,piece
BrandB Mattress,Household,3.89,piece
GreenChoice Sweater,Clothing,2.57,piece
GoodFarm Diesel,Transport,3.61,liter
BrandC Bread,Bakery,0.33,piece
BrandB Butter,Dairy,3.51,kg
NaturePlus Coffee,Beverages,2.2,liter
NaturePlus Bagel,Bakery,1.08,kg
NaturePlus Carrot,Vegetables,1.14,piece
EcoLife Bus Ticket,Transport,0.51,liter
BrandA Dog Food,Pet Supplies,1.84,piece
BrandC Oats,Food,3.32,pack
HomeEssentials Notebook,Stationery,4.4,piece
GreenChoice Apple,Fruits,1.46,piece
BrandC Soap,Personal Care,4.28,piece
GoodFarm Rice,Food,2.39,piece
DailyCare Muffin,Bakery,1.82,kg
GreenChoice Lotion,Personal Care,2.93,piece
DailyCare Table,Household,4.32,piece
BrandB Chair,Household,39.61,piece
BrandC T-shirt,Clothing,18.86,piece
BrandC Croissant,Bakery,4.52,kg
BrandA Lotion,Personal Care,2.09,piece
DailyCare Potato,Vegetables,0.14,piece
GoodFarm Cake,Bakery,1.67,kg
BrandA Banana,Fruits,0.91,piece
GreenChoice Cream,Dairy,7.03,kg
DailyCare Jeans,Clothing,12.97,piece
GoodFarm Table,Household,5.19,piece
GreenChoice Nuts,Food,2.64,piece
BrandA Juice,Beverages,0.85,liter
NaturePlus Coffee,Beverages,2.32,liter
BrandA Croissant,Bakery,4.73,kg
DailyCare Pillow,Household,12.52,piece
GoodFarm Cream,Dairy,4.93,kg
DailyCare Shampoo,Personal Care,1.54,piece
BrandB Pork,Meat,14.47,kg
DailyCare Pasta,Food,4.69,piece
BrandC Potato,Vegetables,1.14,piece
GreenChoice Laptop,Electronics,11.94,piece
BrandB Petrol,Transport,3.14,liter
NaturePlus Coffee,Beverages,2.16,liter
BrandA Grapes,Fruits,1.0,piece
HomeEssentials Tablet,Electronics,179.66,piece
BrandB Nuts,Food,2.6,piece
NaturePlus Cream,Dairy,5.3,liter
BrandA Detergent,Cleaning,14.44,piece
HomeEssentials Potato,Vegetables,1.18,kg
GoodFarm Turkey,Meat,13.35,kg
GreenChoice Bleach,Cleaning,6.02,liter
HomeEssentials Pasta,Food,0.31,piece
GreenChoice Carrot,Vegetables,1.82,kg
GoodFarm Paper Pack,Stationery,2.04,piece
GreenChoice Oats,Food,1.21,pack
GreenChoice Coke,Beverages,2.95,liter
GoodFarm Yogurt,Dairy,2.99,kg
EcoLife Mango,Fruits,1.49,piece
NaturePlus Lamb,Meat,23.31,kg
EcoLife Floor Cleaner,Cleaning,7.79,liter
BrandA Pork,Meat,29.29,kg
GreenChoice Potato,Vegetables,0.26,kg
GoodFarm Soap,Personal Care,3.09,piece
BrandA Pet Toy,Pet Supplies,1.41,piece
BrandA Cat Food,Pet Supplies,1.74,piece
GoodFarm Pillow,Household,2.5,piece
BrandA Rice,Food,2.66,kg
BrandA Nuts,Food,1.05,piece
GoodFarm Beans,Food,2.51,pack
NaturePlus Cream,Dairy,8.52,kg
GreenChoice Bleach,Cleaning,13.29,piece
DailyCare Coke,Beverages,1.36,liter
BrandB Floor Cleaner,Cleaning,1.55,piece
EcoLife Toothpaste,Personal Care,4.86,piece
GreenChoice Onion,Vegetables,0.22,kg
BrandA Pen,Stationery,3.44,piece
HomeEssentials Mattress,Household,48.92,piece
GoodFarm Milk,Dairy,9.49,liter
NaturePlus Soap,Personal Care,1.69,piece
HomeEssentials Cat Food,Pet Supplies,9.96,kg
NaturePlus Cheese,Dairy,0.96,liter
NaturePlus Beans,Food,1.29,pack
DailyCare Detergent,Cleaning,7.82,piece
NaturePlus Mattress,Household,40.13,piece
HomeEssentials Pasta,Food,4.47,kg
DailyCare Apple,Fruits,1.46,piece
NaturePlus Pasta,Food,0.18,kg
GreenChoice Cheese,Dairy,4.46,kg
BrandA Bleach,Cleaning,2.49,kg
DailyCare Paper Pack,Stationery,2.87,piece
NaturePlus Yogurt,Dairy,4.32,liter
EcoLife Stapler,Stationery,3.99,piece
NaturePlus Coffee,Beverages,1.8,bottle
HomeEssentials Orange,Fruits,1.57,piece
BrandA Bread,Bakery,3.67,piece
GoodFarm Jeans,Clothing,11.23,piece
HomeEssentials Marker,Stationery,1.31,piece
NaturePlus Onion,Vegetables,1.59,piece
BrandC Deodorant,Personal Care,1.92,piece
DailyCare Cat Food,Pet Supplies,9.34,piece
HomeEssentials Mango,Fruits,1.88,kg
NaturePlus Sweater,Clothing,8.1,piece
BrandC Water,Beverages,2.47,bottle
DailyCare Floor Cleaner,Cleaning,3.98,kg
EcoLife Floor Cleaner,Cleaning,7.69,piece
DailyCare Shampoo,Personal Care,4.48,piece
EcoLife Table,Household,29.11,piece
GoodFarm Phone,Electronics,82.94,piece
GoodFarm Lamb,Meat,15.47,kg
HomeEssentials Beef,Meat,13.72,kg
GreenChoice Dish Soap,Cleaning,7.3,liter
EcoLife Spinach,Vegetables,1.73,kg
BrandB Oats,Food,3.49,piece
DailyCare TV,Electronics,181.44,piece
BrandA Milk,Dairy,4.11,kg
NaturePlus Detergent,Cleaning,13.86,kg
BrandA Sweater,Clothing,17.83,piece
GreenChoice Dish Soap,Cleaning,12.77,kg
NaturePlus Deodorant,Personal Care,1.21,piece
EcoLife Stapler,Stationery,1.27,piece
NaturePlus Lamb,Meat,26.4,kg
NaturePlus Turkey,Meat,20.84,kg
GoodFarm Yogurt,Dairy,9.43,liter
BrandB Petrol,Transport,1.36,km
GreenChoice Juice,Beverages,1.51,bottle
GreenChoice Laptop,Electronics,94.53,piece
BrandB Floor Cleaner,Cleaning,9.79,liter
BrandA Cheese,Dairy,3.44,liter
DailyCare Tea,Beverages,2.17,bottle
BrandB Bread,Bakery,1.99,piece
BrandB Jeans,Clothing,3.46,piece
HomeEssentials TV,Electronics,105.23,piece
DailyCare Yogurt,Dairy,8.93,kg
GoodFarm Yogurt,Dairy,8.46,liter
BrandA Cat Food,Pet Supplies,1.15,kg
BrandC Cake,Bakery,4.55,kg
NaturePlus Water,Beverages,2.5,bottle
DailyCare Notebook,Stationery,1.52,piece
BrandB Bicycle,Transport,0.62,km
GreenChoice Mattress,Household,19.19,piece
GreenChoice Soap,Personal Care,0.85,piece
HomeEssentials Orange,Fruits,0.12,piece
BrandC Juice,Beverages,2.89,bottle
NaturePlus Shirt,Clothing,4.46,piece
BrandB Jacket,Clothing,12.62,piece
GreenChoice Water,Beverages,2.93,bottle
EcoLife TV,Electronics,184.67,piece
BrandC Mango,Fruits,0.11,kg
HomeEssentials T-shirt,Clothing,10.56,piece
GoodFarm Bread,Bakery,1.64,kg
GreenChoice Diesel,Transport,2.45,liter
BrandC Bleach,Cleaning,3.58,liter
BrandA Juice,Beverages,1.58,bottle
DailyCare Train Ticket,Transport,2.5,km
EcoLife Pen,Stationery,1.04,piece
BrandC Stapler,Stationery,1.01,piece
HomeEssentials Jacket,Clothing,2.33,piece
BrandC Carrot,Vegetables,1.93,kg
DailyCare Mattress,Household,42.02,piece
DailyCare T-shirt,Clothing,19.59,piece
BrandA Pillow,Household,41.55,piece
GreenChoice Dog Food,Pet Supplies,1.5,kg
BrandB Bagel,Bakery,1.41,kg
NaturePlus Orange,Fruits,0.26,kg
DailyCare Train Ticket,Transport,0.84,km
GreenChoice Apple,Fruits,1.82,piece
EcoLife Nuts,Food,0.15,kg
BrandC Pillow,Household,45.88,piece
EcoLife Bread,Bakery,3.86,piece
BrandB Deodorant,Personal Care,3.36,piece
BrandB Jeans,Clothing,19.9,piece
BrandA Diesel,Transport,3.96,liter
BrandC Tea,Beverages,1.76,bottle
GoodFarm Croissant,Bakery,2.06,piece
BrandB Spinach,Vegetables,0.58,kg
NaturePlus Headphones,Electronics,176.08,piece
BrandA Pen,Stationery,2.23,piece
EcoLife Mango,Fruits,1.16,piece
HomeEssentials Diesel,Transport,1.11,km
DailyCare Tomato,Vegetables,1.12,piece
BrandC Potato,Vegetables,0.59,piece
BrandA Carrot,Vegetables,1.36,kg
GoodFarm Turkey,Meat,15.45,kg
BrandA Notebook,Stationery,2.98,piece
DailyCare Stapler,Stationery,1.04,piece
BrandA Pasta,Food,0.25,pack
BrandA Train Ticket,Transport,0.33,km
NaturePlus Mango,Fruits,1.41,kg
BrandC Shampoo,Personal Care,0.22,piece
BrandC Orange,Fruits,0.83,piece
GoodFarm Banana,Fruits,0.89,kg
EcoLife Deodorant,Personal Care,3.32,piece
BrandA Bread,Bakery,0.86,piece
BrandB Croissant,Bakery,4.08,kg
GoodFarm Bagel,Bakery,4.42,piece
BrandB Tea,Beverages,1.43,bottle
BrandC Croissant,Bakery,4.7,kg
DailyCare Bagel,Bakery,0.63,kg
GoodFarm Beef,Meat,22.69,kg
NaturePlus Marker,Stationery,3.0,piece
BrandC Jacket,Clothing,18.39,piece
NaturePlus Pen,Stationery,3.97,piece
BrandB Train Ticket,Transport,3.45,liter
GreenChoice Spinach,Vegetables,1.54,kg
GreenChoice Deodorant,Personal Care,3.65,piece
HomeEssentials Carrot,Vegetables,0.61,kg
GreenChoice Pet Toy,Pet Supplies,9.33,kg
BrandC Orange,Fruits,1.99,kg
HomeEssentials Cat Food,Pet Supplies,6.67,piece
NaturePlus Yogurt,Dairy,3.2,liter
BrandC Grapes,Fruits,1.85,kg
GoodFarm Orange,Fruits,1.22,kg
BrandC Coke,Beverages,0.52,liter
EcoLife Pasta,Food,0.66,piece
GoodFarm Lamb,Meat,5.43,kg
BrandC Beans,Food,4.54,pack
EcoLife Pen,Stationery,3.25,piece
BrandA Stapler,Stationery,1.75,piece
GoodFarm Litter,Pet Supplies,5.64,piece
DailyCare Coke,Beverages,1.45,liter
GreenChoice Apple,Fruits,1.62,kg
NaturePlus Floor Cleaner,Cleaning,11.36,piece
DailyCare Beans,Food,2.92,pack
HomeEssentials Tea,Beverages,0.59,bottle
BrandC Soap,Personal Care,2.21,piece
EcoLife Toothpaste,Personal Care,3.12,piece
BrandB Coke,Beverages,2.07,liter
BrandB Bus Ticket,Transport,1.41,km
GoodFarm Nuts,Food,4.34,pack
GreenChoice Stapler,Stationery,0.26,piece
NaturePlus Tablet,Electronics,165.08,piece
BrandC Beans,Food,2.08,kg
BrandB Nuts,Food,1.02,piece
HomeEssentials Butter,Dairy,1.47,liter
BrandB Juice,Beverages,0.44,liter
GreenChoice Shampoo,Personal Care,4.68,piece
BrandC Bagel,Bakery,0.35,piece
BrandC Cake,Bakery,4.69,kg
DailyCare Diesel,Transport,1.5,liter
GreenChoice Beef,Meat,20.26,kg
BrandA Onion,Vegetables,1.72,piece
BrandC Oats,Food,4.3,pack
GoodFarm Toothpaste,Personal Care,3.75,piece
BrandA Tomato,Vegetables,0.07,kg
BrandC Grapes,Fruits,0.46,kg
EcoLife Floor Cleaner,Cleaning,6.88,kg
GreenChoice Pillow,Household,7.54,piece
GreenChoice Beans,Food,0.93,pack
BrandA Bicycle,Transport,0.14,liter
EcoLife Apple,Fruits,0.11,piece
GoodFarm Banana,Fruits,1.89,kg
DailyCare Croissant,Bakery,1.53,kg
HomeEssentials Toothpaste,Personal Care,0.96,piece
BrandB Lotion,Personal Care,1.46,piece
NaturePlus Beans,Food,4.42,pack
HomeEssentials Paper Pack,Stationery,0.37,piece
NaturePlus Paper Pack,Stationery,4.27,piece
GoodFarm Beans,Food,0.51,pack
EcoLife Lamb,Meat,19.14,kg
HomeEssentials Litter,Pet Supplies,8.91,piece
GoodFarm Lamb,Meat,17.97,kg
BrandC Litter,Pet Supplies,6.34,kg
BrandA Floor Cleaner,Cleaning,13.37,kg
EcoLife Nuts,Food,4.26,pack
HomeEssentials Carrot,Vegetables,1.41,piece
DailyCare Pet Toy,Pet Supplies,3.62,kg
HomeEssentials Bagel,Bakery,1.57,piece
GoodFarm Croissant,Bakery,4.22,piece
HomeEssentials Notebook,Stationery,0.66,piece
HomeEssentials Diesel,Transport,2.72,liter
GoodFarm Dog Food,Pet Supplies,8.96,piece
GoodFarm Chicken,Meat,9.66,kg
BrandA Nuts,Food,3.55,pack
BrandC Shirt,Clothing,11.59,piece
GreenChoice Notebook,Stationery,2.75,piece
NaturePlus Pet Toy,Pet Supplies,5.62,piece
BrandA Glass Cleaner,Cleaning,1.79,liter
BrandA Beans,Food,4.29,piece
GreenChoice Litter,Pet Supplies,7.96,kg
GoodFarm Marker,Stationery,0.76,piece
NaturePlus Marker,Stationery,3.12,piece
BrandA Coke,Beverages,1.91,liter
BrandA Notebook,Stationery,1.54,piece
GoodFarm Diesel,Transport,4.96,liter
EcoLife Pork,Meat,8.58,kg
NaturePlus Marker,Stationery,2.84,piece
GoodFarm Pillow,Household,23.04,piece
NaturePlus Potato,Vegetables,1.02,kg
BrandA Apple,Fruits,0.53,kg
BrandB Table,Household,4.54,piece
BrandA Sweater,Clothing,18.36,piece
HomeEssentials Table,Household,17.34,piece
DailyCare Mattress,Household,39.51,piece
EcoLife Bagel,Bakery,2.32,piece
EcoLife Croissant,Bakery,3.46,kg
EcoLife Jacket,Clothing,12.19,piece
BrandC Bagel,Bakery,2.8,piece
GreenChoice Floor Cleaner,Cleaning,13.3,piece
BrandC Cake,Bakery,4.22,kg
BrandC Banana,Fruits,0.33,kg
NaturePlus Tablet,Electronics,79.55,piece
BrandB Onion,Vegetables,0.55,piece
BrandC Table,Household,19.39,piece
BrandC Dish Soap,Cleaning,5.63,piece
BrandA Bus Ticket,Transport,3.82,liter
EcoLife Cream,Dairy,3.45,kg
BrandB Orange,Fruits,1.86,kg
BrandA Petrol,Transport,2.6,liter
BrandB Juice,Beverages,1.64,bottle
NaturePlus Stapler,Stationery,3.4,piece
DailyCare Dog Food,Pet Supplies,8.71,piece
NaturePlus Lamp,Household,47.53,piece
BrandA Floor Cleaner,Cleaning,5.18,kg
NaturePlus Milk,Dairy,6.35,liter
NaturePlus Stapler,Stationery,2.28,piece
BrandC Mattress,Household,7.14,piece
NaturePlus Cake,Bakery,3.78,kg
EcoLife Carrot,Vegetables,1.49,kg
DailyCare Phone,Electronics,17.12,piece
BrandB Litter,Pet Supplies,6.29,kg
BrandC Soap,Personal Care,2.06,piece
EcoLife Bagel,Bakery,4.18,piece
BrandB Muffin,Bakery,2.61,kg
BrandC Water,Beverages,1.83,liter
GoodFarm Bread,Bakery,4.52,piece
EcoLife T-shirt,Clothing,6.94,piece
BrandC Potato,Vegetables,1.31,kg
BrandB Bicycle,Transport,3.54,liter
DailyCare TV,Electronics,91.36,piece
BrandB Toothpaste,Personal Care,2.84,piece
BrandB Bus Ticket,Transport,2.41,km
EcoLife Beef,Meat,17.18,kg
GreenChoice Banana,Fruits,0.62,piece
BrandA Pet Shampoo,Pet Supplies,5.51,piece
BrandB Floor Cleaner,Cleaning,10.62,piece
BrandA Turkey,Meat,24.04,kg
DailyCare Shampoo,Personal Care,4.21,piece
DailyCare Bleach,Cleaning,13.77,liter
GoodFarm Grapes,Fruits,0.91,kg
BrandC Tea,Beverages,2.52,bottle
BrandA Pillow,Household,7.04,piece
GoodFarm Dish Soap,Cleaning,11.82,kg
GreenChoice Pork,Meat,23.22,kg
BrandC Mattress,Household,49.88,piece
BrandC Detergent,Cleaning,3.08,piece
GoodFarm Toothpaste,Personal Care,2.89,piece
BrandC Nuts,Food,0.56,piece
BrandB Milk,Dairy,7.92,liter
BrandB Bagel,Bakery,0.77,kg
GreenChoice Beans,Food,2.25,pack
BrandB Coffee,Beverages,2.97,liter
NaturePlus Juice,Beverages,2.77,liter
GoodFarm Oats,Food,3.43,piece
DailyCare Cat Food,Pet Supplies,8.34,piece
DailyCare Bleach,Cleaning,7.7,piece
BrandA Bicycle,Transport,1.87,liter
DailyCare Chair,Household,9.53,piece
NaturePlus Stapler,Stationery,0.92,piece
NaturePlus Pork,Meat,7.83,kg
BrandA Laptop,Electronics,38.59,piece
BrandB Water,Beverages,0.29,liter
BrandB Rice,Food,4.82,pack
DailyCare Petrol,Transport,0.79,km
EcoLife Pasta,Food,3.91,kg
NaturePlus Detergent,Cleaning,6.73,liter
DailyCare Coffee,Beverages,2.35,liter
BrandA Onion,Vegetables,1.41,kg
HomeEssentials Lotion,Personal Care,4.53,piece
GoodFarm Petrol,Transport,0.54,km
BrandA Mango,Fruits,1.15,kg
NaturePlus Phone,Electronics,55.15,piece
BrandB Chair,Household,41.67,piece
HomeEssentials Beef,Meat,20.13,kg
HomeEssentials Bread,Bakery,2.59,kg
GoodFarm Rice,Food,3.18,pack
NaturePlus Onion,Vegetables,0.18,piece
NaturePlus Grapes,Fruits,0.55,piece
DailyCare Croissant,Bakery,0.5,kg
BrandA Juice,Beverages,0.43,liter
HomeEssentials Bleach,Cleaning,1.0,piece
HomeEssentials Bread,Bakery,3.84,kg
BrandA Dish Soap,Cleaning,12.17,kg
BrandA Orange,Fruits,0.85,piece
GoodFarm Dog Food,Pet Supplies,3.13,kg
DailyCare Orange,Fruits,0.46,piece
BrandA T-shirt,Clothing,9.53,piece
NaturePlus Nuts,Food,1.63,piece
EcoLife Mattress,Household,47.49,piece
HomeEssentials Lamb,Meat,16.35,kg
DailyCare Marker,Stationery,0.35,piece
GoodFarm Lentils,Food,1.69,piece
HomeEssentials Sweater,Clothing,6.32,piece
EcoLife Pork,Meat,5.71,kg
HomeEssentials Sweater,Clothing,2.19,piece
BrandB Detergent,Cleaning,13.51,liter
NaturePlus Cream,Dairy,2.29,kg
BrandA Water,Beverages,2.13,bottle
GreenChoice Lamp,Household,39.21,piece
DailyCare Coke,Beverages,0.71,bottle
DailyCare Laptop,Electronics,160.92,piece
GoodFarm Paper Pack,Stationery,0.74,piece
EcoLife Grapes,Fruits,1.83,piece
GreenChoice Pasta,Food,2.88,kg
BrandA Shirt,Clothing,18.04,piece
HomeEssentials Nuts,Food,4.32,piece
BrandC Soap,Personal Care,1.65,piece
HomeEssentials Dish Soap,Cleaning,12.13,liter
DailyCare Shampoo,Personal Care,3.55,piece
BrandA Spinach,Vegetables,0.16,piece
DailyCare Lentils,Food,3.44,piece
DailyCare Pet Toy,Pet Supplies,8.18,kg
DailyCare Lentils,Food,2.96,pack
NaturePlus Marker,Stationery,3.82,piece
BrandB Tea,Beverages,2.38,liter
DailyCare Floor Cleaner,Cleaning,14.14,piece
BrandB Stapler,Stationery,0.27,piece
BrandB Bleach,Cleaning,9.35,liter
DailyCare Bagel,Bakery,4.53,piece
BrandA Detergent,Cleaning,5.1,liter
